DEPT,DT,GR,M2R1,M2R2,M2R3,M2R6,M2R9,M2RX,SP,ZDEN
M,US/FT,gAPI,OHMM,OHMM,OHMM,OHMM,OHMM,OHMM,mV,G/C3
1282.1001,99.6475,90.7164,0.8227,0.8227,0.8427,0.8427,0.8327,0.8327,-999.25,-999.25
1282.2001,99.4357,91.0408,0.8161,0.8161,0.8361,0.8361,0.8261,0.8261,-999.25,-999.25
1282.3001,99.229,91.3573,0.8101,0.8101,0.8297,0.8297,0.8197,0.8197,-999.25,-999.25
1282.4001,99.0172,91.6816,0.81,0.81,0.823,0.823,0.813,0.813,-999.25,-999.25
1282.5001,98.8051,92.0028,0.8172,0.8172,0.8236,0.8236,0.8136,0.8136,-999.25,-999.25
1282.6001,98.6058,92.3144,0.83,0.83,0.83,0.83,0.8201,0.8201,-999.25,-999.25
1282.7001,98.8668,92.724,0.8367,0.8367,0.83,0.83,0.8267,0.8267,-999.25,-999.25
1282.8001,99.1316,93.1344,0.8466,0.8466,0.8333,0.8333,0.8333,0.8333,-999.25,-999.25
1282.9001,99.3899,93.5349,0.8595,0.8595,0.8398,0.8398,0.8398,0.8398,-999.25,-999.25
1283.0001,99.6541,93.9457,0.8727,0.8727,0.8464,0.8464,0.84,0.84,-999.25,-999.25
1283.1001,99.6833,94.346,0.8799,0.8799,0.8528,0.8528,0.8429,0.8429,-999.25,-999.25
1283.2001,99.4219,94.7566,0.88,0.88,0.8595,0.8595,0.8495,0.8495,-999.25,-999.25
1283.3001,99.279,96.0364,0.8739,0.8739,0.86,0.86,0.85,0.85,-999.25,-999.25
1283.4001,99.2187,97.3599,0.8675,0.8675,0.86,0.86,0.85,0.85,-999.25,-999.25
1283.5001,99.2641,98.7193,0.8608,0.8608,0.86,0.86,0.85,0.85,-999.25,-999.25
1283.6001,99.3047,100.0771,0.8542,0.8542,0.86,0.86,0.85,0.85,-999.25,-999.25
1283.7001,99.3457,101.4008,0.8478,0.8478,0.86,0.86,0.85,0.85,-999.25,-999.25
1283.8001,99.3936,102.7576,0.8412,0.8412,0.86,0.86,0.85,0.85,-999.25,-999.25
1283.9001,100.0003,104.0928,0.84,0.84,0.8545,0.8545,0.8445,0.8445,-999.25,-999.25
1284.0001,100.504,104.0434,0.84,0.84,0.8481,0.8481,0.84,0.84,-999.25,-999.25
1284.1001,100.5257,100.7528,0.84,0.84,0.8414,0.8414,0.84,0.84,-999.25,-999.25
1284.2001,100.5501,97.5352,0.84,0.84,0.835,0.835,0.835,0.835,-999.25,-999.25
1284.3001,100.5749,94.2359,0.84,0.84,0.8284,0.8284,0.8284,0.8284,-999.25,-999.25
1284.4001,100.5943,90.9335,0.84,0.84,0.8218,0.8218,0.8217,0.8217,-999.25,-999.25
1284.5001,100.5526,87.7071,0.8353,0.8353,0.8248,0.8248,0.8153,0.8153,-999.25,-999.25
1284.6001,100.4865,85.6679,0.83,0.83,0.8314,0.8314,0.8127,0.8127,-999.25,-999.25
1284.7001,100.4203,88.5334,0.83,0.83,0.838,0.838,0.8259,0.8259,-999.25,-999.25
1284.8001,100.3558,91.3339,0.8256,0.8256,0.8444,0.8444,0.8344,0.8344,-999.25,-999.25
1284.9001,100.2895,94.208,0.8189,0.8189,0.8511,0.8511,0.8411,0.8411,-999.25,-999.25
1285.0001,100.2249,97.0124,0.8125,0.8125,0.8575,0.8575,0.8475,0.8475,-999.25,-999.25
1285.1001,105.4305,99.8818,0.8224,0.8224,0.8724,0.8724,0.8624,0.8624,-999.25,-999.25
1285.2001,113.8026,102.1354,0.8423,0.8423,0.8923,0.8923,0.8823,0.8823,-999.25,-999.25
1285.3001,121.9669,99.7216,0.8617,0.8617,0.9117,0.9117,0.9017,0.9017,-999.25,-999.25
1285.4001,130.3426,97.2453,0.8815,0.8815,0.9315,0.9315,0.9215,0.9215,-999.25,-999.25
1285.5001,138.7305,94.7653,0.9009,0.9009,0.9514,0.9514,0.9414,0.9414,-999.25,-999.25
1285.6001,146.8947,92.3495,0.9139,0.9139,0.9708,0.9708,0.9608,0.9608,-999.25,-999.25
1285.7001,146.065,89.8736,0.9129,0.9129,0.9694,0.9694,0.9594,0.9594,-999.25,-999.25
1285.8001,137.4097,87.4846,0.9,0.9,0.95,0.95,0.94,0.94,-999.25,-999.25
1285.9001,128.5353,87.0626,0.8868,0.8868,0.9301,0.9301,0.9201,0.9201,-999.25,-999.25
